query,dataset,runtime
38.sql,tpch,8721
18.sql,tpch,30156
30.sql,tpch,9186
23.sql,tpch,8079
37.sql,tpch,2799
32.sql,tpch,5868
12.sql,tpch,6377
6.sql,tpch,1949
21.sql,tpch,23132
25.sql,tpch,23686
17.sql,tpch,34285
11.sql,tpch,2782
27.sql,tpch,7793
9.sql,tpch,70850
2.sql,tpch,7207
29.sql,tpch,9805
33.sql,tpch,7736
34.sql,tpch,10813
15.sql,tpch,5919
1.sql,tpch,26430
14.sql,tpch,3212
20.sql,tpch,8256
13.sql,tpch,14110
5.sql,tpch,16948
22.sql,tpch,3474
10.sql,tpch,9140
31.sql,tpch,3725
28.sql,tpch,8013
36.sql,tpch,2437
3.sql,tpch,7842
7.sql,tpch,13388
35.sql,tpch,2193
16.sql,tpch,6770
24.sql,tpch,13942
4.sql,tpch,6075
8.sql,tpch,39311
19.sql,tpch,4138
26.sql,tpch,8260
38.sql,tpch,2683
18.sql,tpch,26057
30.sql,tpch,8710
23.sql,tpch,6785
37.sql,tpch,2498
32.sql,tpch,5588
12.sql,tpch,5464
6.sql,tpch,1838
21.sql,tpch,24342
25.sql,tpch,23674
17.sql,tpch,33217
11.sql,tpch,2491
27.sql,tpch,8007
9.sql,tpch,71189
2.sql,tpch,7046
29.sql,tpch,8011
33.sql,tpch,7644
34.sql,tpch,10157
15.sql,tpch,5601
1.sql,tpch,26772
14.sql,tpch,2864
20.sql,tpch,8356
13.sql,tpch,12927
5.sql,tpch,18291
22.sql,tpch,3426
10.sql,tpch,8696
31.sql,tpch,3561
28.sql,tpch,7842
36.sql,tpch,2512
3.sql,tpch,7730
7.sql,tpch,12564
35.sql,tpch,1815
16.sql,tpch,6476
24.sql,tpch,13889
4.sql,tpch,6243
8.sql,tpch,41480
19.sql,tpch,4075
26.sql,tpch,8102
38.sql,tpch,2988
18.sql,tpch,25615
30.sql,tpch,9228
23.sql,tpch,6799
37.sql,tpch,2620
32.sql,tpch,6102
12.sql,tpch,4850
6.sql,tpch,1931
21.sql,tpch,25155
25.sql,tpch,23307
17.sql,tpch,27788
11.sql,tpch,2372
27.sql,tpch,7716
9.sql,tpch,85297
2.sql,tpch,6966
29.sql,tpch,8483
33.sql,tpch,15238
34.sql,tpch,26843
15.sql,tpch,5679
1.sql,tpch,26927
14.sql,tpch,2914
20.sql,tpch,8515
13.sql,tpch,12765
5.sql,tpch,28806
22.sql,tpch,3568
10.sql,tpch,10144
31.sql,tpch,3975
28.sql,tpch,9125
36.sql,tpch,2991
3.sql,tpch,8609
7.sql,tpch,13301
35.sql,tpch,1831
16.sql,tpch,6569
24.sql,tpch,14098
4.sql,tpch,6128
8.sql,tpch,43550
19.sql,tpch,4049
26.sql,tpch,8233
38.sql,tpch,2864
18.sql,tpch,25525
30.sql,tpch,8610
23.sql,tpch,6887
37.sql,tpch,2534
32.sql,tpch,5361
12.sql,tpch,4798
6.sql,tpch,1767
21.sql,tpch,24489
25.sql,tpch,23763
17.sql,tpch,35820
11.sql,tpch,2457
27.sql,tpch,8157
9.sql,tpch,30652
2.sql,tpch,6901
29.sql,tpch,8170
33.sql,tpch,8054
34.sql,tpch,9786
15.sql,tpch,5514
1.sql,tpch,27228
14.sql,tpch,2935
20.sql,tpch,8556
13.sql,tpch,9462
5.sql,tpch,14305
22.sql,tpch,3925
10.sql,tpch,9308
31.sql,tpch,3779
28.sql,tpch,8744
36.sql,tpch,2223
