query,dataset,runtime
38.sql,tpch,8247
18.sql,tpch,27239
30.sql,tpch,10305
23.sql,tpch,7946
37.sql,tpch,2474
32.sql,tpch,6221
12.sql,tpch,5454
6.sql,tpch,1801
21.sql,tpch,24206
25.sql,tpch,24721
17.sql,tpch,26189
11.sql,tpch,2965
27.sql,tpch,8028
9.sql,tpch,58316
2.sql,tpch,7534
29.sql,tpch,8444
33.sql,tpch,8500
34.sql,tpch,28633
15.sql,tpch,6018
1.sql,tpch,26797
14.sql,tpch,3548
20.sql,tpch,8743
13.sql,tpch,8905
5.sql,tpch,19056
22.sql,tpch,4207
10.sql,tpch,10759
31.sql,tpch,4530
28.sql,tpch,8348
36.sql,tpch,2678
3.sql,tpch,8104
7.sql,tpch,13011
35.sql,tpch,2128
16.sql,tpch,6927
24.sql,tpch,14952
4.sql,tpch,5886
8.sql,tpch,31494
19.sql,tpch,4779
26.sql,tpch,9103
38.sql,tpch,2728
18.sql,tpch,24507
30.sql,tpch,9647
23.sql,tpch,7342
37.sql,tpch,2493
32.sql,tpch,6403
12.sql,tpch,5638
6.sql,tpch,1596
21.sql,tpch,22188
25.sql,tpch,24395
17.sql,tpch,25438
11.sql,tpch,2293
27.sql,tpch,8091
9.sql,tpch,83348
2.sql,tpch,7344
29.sql,tpch,8880
33.sql,tpch,20302
34.sql,tpch,11860
15.sql,tpch,5229
1.sql,tpch,28130
14.sql,tpch,2879
20.sql,tpch,8191
13.sql,tpch,8051
5.sql,tpch,17062
22.sql,tpch,3383
10.sql,tpch,8485
31.sql,tpch,3302
28.sql,tpch,7826
36.sql,tpch,2547
3.sql,tpch,7583
7.sql,tpch,12246
35.sql,tpch,2172
16.sql,tpch,6878
24.sql,tpch,14218
4.sql,tpch,5834
8.sql,tpch,45488
19.sql,tpch,4586
26.sql,tpch,8407
38.sql,tpch,2814
18.sql,tpch,24885
30.sql,tpch,9826
23.sql,tpch,6901
37.sql,tpch,2214
32.sql,tpch,5702
12.sql,tpch,5197
6.sql,tpch,1586
21.sql,tpch,25109
25.sql,tpch,24275
17.sql,tpch,27332
11.sql,tpch,2078
27.sql,tpch,7937
9.sql,tpch,105821
2.sql,tpch,6653
29.sql,tpch,8590
33.sql,tpch,12984
34.sql,tpch,26793
15.sql,tpch,9313
1.sql,tpch,28035
14.sql,tpch,2978
20.sql,tpch,8516
13.sql,tpch,9548
5.sql,tpch,25243
22.sql,tpch,4593
10.sql,tpch,11637
31.sql,tpch,4345
28.sql,tpch,10350
36.sql,tpch,7322
3.sql,tpch,9153
7.sql,tpch,13483
35.sql,tpch,2128
16.sql,tpch,6920
24.sql,tpch,14210
4.sql,tpch,22006
8.sql,tpch,54896
19.sql,tpch,4486
26.sql,tpch,8074
38.sql,tpch,2822
18.sql,tpch,27933
30.sql,tpch,10542
23.sql,tpch,6700
37.sql,tpch,2241
32.sql,tpch,5449
12.sql,tpch,5119
6.sql,tpch,1725
21.sql,tpch,28239
25.sql,tpch,24883
17.sql,tpch,39467
11.sql,tpch,3361
27.sql,tpch,8218
9.sql,tpch,45142
2.sql,tpch,6745
29.sql,tpch,8711
33.sql,tpch,8162
34.sql,tpch,11227
15.sql,tpch,5798
1.sql,tpch,26581
14.sql,tpch,2722
20.sql,tpch,9892
13.sql,tpch,6817
5.sql,tpch,13884
22.sql,tpch,3342
10.sql,tpch,10045
31.sql,tpch,3510
28.sql,tpch,7933
36.sql,tpch,2603
3.sql,tpch,7855
7.sql,tpch,13593
35.sql,tpch,2012
16.sql,tpch,6912
24.sql,tpch,14575
4.sql,tpch,6314
8.sql,tpch,15670
19.sql,tpch,4177
26.sql,tpch,8167
38.sql,tpch,2767
18.sql,tpch,25183
30.sql,tpch,9405
23.sql,tpch,6621
37.sql,tpch,2152
32.sql,tpch,5786
12.sql,tpch,5348
6.sql,tpch,1759
21.sql,tpch,22974
25.sql,tpch,23604
17.sql,tpch,24183
11.sql,tpch,2337
27.sql,tpch,7712
9.sql,tpch,46047
2.sql,tpch,6459
29.sql,tpch,8464
