query,dataset,runtime
38.sql,tpch,9606
18.sql,tpch,30385
30.sql,tpch,11077
23.sql,tpch,8827
37.sql,tpch,2368
32.sql,tpch,5605
12.sql,tpch,5105
6.sql,tpch,2032
21.sql,tpch,21645
25.sql,tpch,24405
17.sql,tpch,28013
11.sql,tpch,2657
27.sql,tpch,8440
9.sql,tpch,29002
2.sql,tpch,6875
29.sql,tpch,8784
33.sql,tpch,7965
34.sql,tpch,9957
15.sql,tpch,5738
1.sql,tpch,27223
14.sql,tpch,2916
20.sql,tpch,8439
13.sql,tpch,6995
5.sql,tpch,14664
22.sql,tpch,3523
10.sql,tpch,10151
31.sql,tpch,3251
28.sql,tpch,7944
36.sql,tpch,2701
3.sql,tpch,8289
7.sql,tpch,13793
35.sql,tpch,2021
16.sql,tpch,7580
24.sql,tpch,15368
4.sql,tpch,6183
8.sql,tpch,41452
19.sql,tpch,4514
26.sql,tpch,7975
38.sql,tpch,2768
18.sql,tpch,26295
30.sql,tpch,8460
23.sql,tpch,6980
37.sql,tpch,2080
32.sql,tpch,5730
12.sql,tpch,5130
6.sql,tpch,1638
21.sql,tpch,20443
25.sql,tpch,23259
17.sql,tpch,24597
11.sql,tpch,2601
27.sql,tpch,8685
9.sql,tpch,77861
2.sql,tpch,7083
29.sql,tpch,8480
33.sql,tpch,9567
34.sql,tpch,28681
15.sql,tpch,5289
1.sql,tpch,27638
14.sql,tpch,2875
20.sql,tpch,8213
13.sql,tpch,7262
5.sql,tpch,17530
22.sql,tpch,3431
10.sql,tpch,9031
31.sql,tpch,3195
28.sql,tpch,8839
36.sql,tpch,2328
3.sql,tpch,9319
7.sql,tpch,12551
35.sql,tpch,2148
16.sql,tpch,6675
24.sql,tpch,14822
4.sql,tpch,5615
8.sql,tpch,29314
19.sql,tpch,3981
26.sql,tpch,8518
38.sql,tpch,2845
18.sql,tpch,25085
30.sql,tpch,8362
23.sql,tpch,6590
37.sql,tpch,2036
32.sql,tpch,5980
12.sql,tpch,8107
6.sql,tpch,1676
21.sql,tpch,25750
25.sql,tpch,23490
17.sql,tpch,25246
11.sql,tpch,3251
27.sql,tpch,7970
9.sql,tpch,36864
2.sql,tpch,7130
29.sql,tpch,8971
33.sql,tpch,7931
34.sql,tpch,10876
15.sql,tpch,5592
1.sql,tpch,27984
14.sql,tpch,2761
20.sql,tpch,7917
13.sql,tpch,13145
5.sql,tpch,13393
22.sql,tpch,3197
10.sql,tpch,10067
31.sql,tpch,3132
28.sql,tpch,7764
36.sql,tpch,2604
3.sql,tpch,8161
7.sql,tpch,17351
35.sql,tpch,2334
16.sql,tpch,6975
24.sql,tpch,14652
4.sql,tpch,6227
8.sql,tpch,37189
19.sql,tpch,4495
26.sql,tpch,8407
38.sql,tpch,2785
18.sql,tpch,26029
30.sql,tpch,9988
23.sql,tpch,6784
37.sql,tpch,3061
32.sql,tpch,6138
12.sql,tpch,5141
6.sql,tpch,1727
21.sql,tpch,25035
25.sql,tpch,23909
17.sql,tpch,24557
11.sql,tpch,2263
27.sql,tpch,7645
9.sql,tpch,133463
2.sql,tpch,6500
29.sql,tpch,8072
33.sql,tpch,7595
34.sql,tpch,10902
15.sql,tpch,5643
1.sql,tpch,27257
14.sql,tpch,2640
20.sql,tpch,8283
13.sql,tpch,14024
5.sql,tpch,20091
22.sql,tpch,3316
10.sql,tpch,9362
31.sql,tpch,3217
28.sql,tpch,7521
36.sql,tpch,2543
3.sql,tpch,7714
7.sql,tpch,12552
35.sql,tpch,2139
16.sql,tpch,6727
24.sql,tpch,14631
4.sql,tpch,6097
8.sql,tpch,38156
19.sql,tpch,4829
26.sql,tpch,8316
38.sql,tpch,2688
18.sql,tpch,26110
30.sql,tpch,9642
23.sql,tpch,6806
37.sql,tpch,2330
32.sql,tpch,5618
12.sql,tpch,5182
6.sql,tpch,1560
21.sql,tpch,26094
25.sql,tpch,23441
17.sql,tpch,26999
11.sql,tpch,2212
27.sql,tpch,8006
9.sql,tpch,53889
2.sql,tpch,5957
29.sql,tpch,8671
33.sql,tpch,9053
34.sql,tpch,29318
15.sql,tpch,5271
1.sql,tpch,27049
14.sql,tpch,2850
20.sql,tpch,8340
13.sql,tpch,14451
5.sql,tpch,15801
